"package","tenants"
"@dvelop-sdk/dms",641
"axios",579
"@dvelop-sdk/business-objects",167
"pdfmake",142
"@dvelop-sdk/identityprovider",131
"unicode-trie",121
"@dvelop-sdk/task",92
"pdf-lib",57
"xmlbuilder",53
"mssql",46
"fuse.js",41
"node-fetch",37
"nodemailer",33
"@cantoo/pdf-lib",28
"moment",18
"@azure/msal-node",17
"yaveon.ecm.d3dwebhooks",16
"exceljs",15
"mysql2",15
"uuid",15
"@microsoft/microsoft-graph-client",14
"@xmldom/xmldom",14
"atob",14
"docxtemplater",14
"pizzip",14
"xpath",14
"fast-xml-parser",9
"pdfkit",9
"lodash",8
"jsonwebtoken",7
"jspdf",7
"isomorphic-fetch",6
"pdf-parse",6
"pdfjs-dist",6
"xlsx",6
"xml2js",6
"@sendgrid/mail",5
"archiver",5
"jszip",5
"ofetch",5
"valibot",5
"xmlbuilder2",5
"base64-js",4
"csv-parse",4
"date-fns",4
"dayjs",4
"emailjs",4
"express",4
"form-data",4
"json2csv",4
"luxon",4
"mime-types",4
"oracledb",4
"wordpress-rest-api",4
"@azure/service-bus",3
"@google/genai",3
"aws-sdk",3
"bwip-js",3
"cheerio",3
"html-to-text",3
"is-valid-uuid-v4",3
"mailparser",3
"marked",3
"moment-timezone",3
"mysql",3
"node-rfc",3
"pdf2json",3
"pdfreader",3
"tedious",3
"undici",3
"@aws-sdk/client-ec2",2
"@aws-sdk/client-lambda",2
"@aws-sdk/client-service-catalog",2
"@aws-sdk/client-sfn",2
"@aws-sdk/client-sso",2
"@aws-sdk/client-sso-oidc",2
"@aws-sdk/client-sts",2
"@azure/identity",2
"@sendgrid/client",2
"adm-zip",2
"blob-stream",2
"content-disposition",2
"cookie",2
"csv-string",2
"csv-writer",2
"docusign-esign",2
"file-type",2
"ftp",2
"he",2
"httpntlm",2
"ical-generator",2
"imapflow",2
"jimp",2
"pdf-poppler",2
"pdfkit-table",2
"qs",2
"simple-oauth2",2
"sqlstring",2
"tmp",2
"write",2
"@aws-sdk/client-cloudformation",1
"@aws-sdk/client-dynamodb",1
"@aws-sdk/client-s3",1
"@azure-rest/ai-document-intelligence",1
"@azure-rest/ai-inference",1
"@azure/core-auth",1
"@azure/core-sse",1
"@azure/cosmos",1
"@dvelop-sdk/core",1
"@dvelop-sdk/invoices",1
"@e965/xlsx",1
"@faker-js/faker",1
"@foliojs-fork/fontkit",1
"@google/generative-ai",1
"@hyzyla/pdfium",1
"@js-temporal/polyfill",1
"@kenjiuno/msgreader",1
"@langchain/core",1
"@langchain/google-genai",1
"@langchain/textsplitters",1
"@pdfme/generator",1
"@pnp/nodejs",1
"@pnp/sp",1
"@ppls/dvelop-smartinvoice-types",1
"@tensorflow/tfjs",1
"@tiptap/core",1
"@tiptap/extension-link",1
"@tiptap/extension-table",1
"@tiptap/extension-table-cell",1
"@tiptap/extension-table-header",1
"@tiptap/extension-table-row",1
"@tiptap/starter-kit",1
"Sybase",1
"activedirectory2",1
"aguid",1
"basic-ftp",1
"bloater-renewed",1
"bpmn-moddle",1
"convert-excel-to-json",1
"cross-image",1
"csv",1
"csv-parser",1
"date-holidays",1
"decimal.js",1
"dmn-moddle",1
"docx-pdf",1
"docx-templates",1
"excel4node",1
"exif-parser",1
"exifr",1
"fflate",1
"follow-redirects",1
"franc",1
"gojs",1
"got",1
"handlebars",1
"html-to-pdfmake",1
"html2pdf.js",1
"isb.connect.npm",1
"jira.js",1
"jpeg-js",1
"js-yaml",1
"jsdom",1
"jspdf-autotable",1
"jstoxml",1
"jwt-decode",1
"kafkajs",1
"mammoth",1
"mariadb",1
"markdown-it",1
"mathjs",1
"multiparty",1
"node-forge",1
"node-html-to-image",1
"node-rest-client",1
"node-sp-auth",1
"openai",1
"owgkogwekokegwo",1
"p-limit",1
"pdf-lib-with-encrypt",1
"pdf-watermark",1
"pdflib",1
"pino",1
"playwright",1
"qrcode",1
"readable-stream",1
"request-promise",1
"sanitize",1
"shelljs",1
"snowflake-sdk",1
"spark-md5",1
"ssh2-no-cpu-features",1
"ssl-root-cas",1
"sybase",1
"turndown",1
"typeorm",1
"weather-js",1
"xlsx-js-style",1
"xml-js",1
"xml2js-xpath",1
"xslt-processor",1
"zip-stream",1
"zod",1
