"package","tenants"
"@dvelop-sdk/dms",360
"axios",254
"@dvelop-sdk/business-objects",95
"xmlbuilder",34
"fuse.js",30
"@dvelop-sdk/identityprovider",20
"node-fetch",17
"@dvelop-sdk/task",13
"lodash",7
"yaveon.ecm.d3dwebhooks",7
"mssql",5
"fast-xml-parser",4
"nodemailer",3
"ofetch",3
"valibot",3
"@azure/msal-node",2
"@microsoft/microsoft-graph-client",2
"moment",2
"@dvelop-sdk/invoices",1
"content-disposition",1
"date-fns",1
"express",1
"jszip",1
"moment-timezone",1
"node-rest-client",1
"p-limit",1
"pdf-lib",1
"pdfjs-dist",1
"pino",1
"qs",1
"uuid",1
"weather-js",1
